[array([0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
       0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
       0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
       0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
       0.0000e+00, 0.0000e+00, 1.0000e+00, 1.0000e+00, 0.0000e+00,
       0.0000e+00, 2.0000e+00, 0.0000e+00, 2.0000e+00, 4.0000e+00,
       8.0000e+00, 2.4000e+01, 2.5000e+01, 2.6000e+01, 4.9000e+01,
       4.3000e+01, 4.6000e+01, 8.8000e+01, 7.2000e+01, 1.0400e+02,
       1.0700e+02, 1.2200e+02, 1.4900e+02, 1.5200e+02, 1.9600e+02,
       1.9700e+02, 2.3100e+02, 2.4500e+02, 2.6400e+02, 3.0800e+02,
       3.7200e+02, 3.4000e+02, 4.0400e+02, 3.8000e+02, 5.0100e+02,
       5.2100e+02, 6.4600e+02, 6.7900e+02, 7.1200e+02, 8.1200e+02,
       8.6800e+02, 9.8000e+02, 1.0860e+03, 1.0720e+03, 1.0420e+03,
       1.0650e+03, 1.1370e+03, 1.1780e+03, 1.1470e+03, 1.2570e+03,
       1.1820e+03, 1.0800e+03, 1.1060e+03, 1.1420e+03, 1.1800e+03,
       1.1450e+03, 1.1140e+03, 1.0110e+03, 1.0470e+03, 1.0040e+03,
       1.0270e+03, 9.9500e+02, 9.4000e+02, 9.3900e+02, 8.8500e+02,
       8.3600e+02, 8.9300e+02, 9.1000e+02, 8.4900e+02, 8.1700e+02,
       8.4300e+02, 8.4800e+02, 8.1000e+02, 7.5400e+02, 7.6400e+02,
       7.4800e+02, 6.8000e+02, 7.1400e+02, 6.7800e+02, 6.7000e+02,
       6.5700e+02, 6.1000e+02, 5.7200e+02, 5.5200e+02, 5.6500e+02,
       6.1100e+02, 5.5000e+02, 4.5600e+02, 4.5900e+02, 4.4300e+02,
       4.2200e+02, 4.2100e+02, 4.2300e+02, 4.2700e+02, 4.2900e+02,
       3.9700e+02, 4.6400e+02, 4.7200e+02, 4.4200e+02, 5.0300e+02,
       5.1200e+02, 5.0000e+02, 5.0600e+02, 5.8700e+02, 6.0700e+02,
       5.5800e+02, 5.8100e+02, 5.6500e+02, 6.5100e+02, 6.2600e+02,
