[array([0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00,
       0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00,
       0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00,
       0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00,
       0.000e+00, 0.000e+00, 0.000e+00, 1.000e+00, 1.000e+00, 2.000e+00,
       6.000e+00, 8.000e+00, 7.000e+00, 1.700e+01, 1.100e+01, 1.100e+01,
       1.500e+01, 2.200e+01, 1.900e+01, 1.500e+01, 2.300e+01, 2.000e+01,
       1.900e+01, 2.100e+01, 1.600e+01, 2.100e+01, 1.400e+01, 2.500e+01,
       3.000e+01, 3.000e+01, 3.700e+01, 3.500e+01, 3.800e+01, 4.200e+01,
       5.000e+01, 5.200e+01, 7.000e+01, 8.300e+01, 7.500e+01, 7.900e+01,
       1.000e+02, 7.600e+01, 1.060e+02, 9.100e+01, 1.220e+02, 1.300e+02,
       1.170e+02, 1.460e+02, 1.670e+02, 1.870e+02, 2.220e+02, 2.470e+02,
       2.680e+02, 3.480e+02, 3.260e+02, 4.190e+02, 4.640e+02, 5.330e+02,
       5.300e+02, 5.700e+02, 6.660e+02, 6.430e+02, 7.110e+02, 6.910e+02,
       8.140e+02, 8.960e+02, 1.012e+03, 1.139e+03, 1.204e+03, 1.333e+03,
       1.419e+03, 1.477e+03, 1.567e+03, 1.691e+03, 1.753e+03, 1.848e+03,
       1.957e+03, 1.988e+03, 2.026e+03, 2.207e+03, 2.290e+03, 2.376e+03,
       2.405e+03, 2.520e+03, 2.704e+03, 2.901e+03, 2.813e+03, 2.961e+03,
       2.924e+03, 3.020e+03, 3.039e+03, 3.096e+03, 3.286e+03, 3.326e+03,
       3.369e+03, 3.594e+03, 3.530e+03, 3.544e+03, 3.629e+03, 3.648e+03,
       3.670e+03, 3.589e+03, 3.704e+03, 3.757e+03, 3.768e+03, 3.703e+03,
       3.667e+03, 3.551e+03, 3.624e+03, 3.540e+03, 3.492e+03, 3.312e+03,
